,content,data,like,place,tags
0,뉴욕시 장충동 🥐☕️여행 갔다올때마다 그나라 신문 꼭 챙겨왔는데 뉴욕타임즈 너무 오랜만에 본느낌 신문이 반가울줄이야.. #신라호텔 #신라호텔서울 #스윗제니호텔 #호텔조식 #일상 #서울호캉스 #주말 ..,2021-05-23,995,The Shilla Hotels & Resorts - 신라호텔,"['#신라호텔', '#신라호텔서울', '#스윗제니호텔', '#호텔조식', '#일상', '#서울호캉스', '#주말']"
1,"💙서초에 있다는 세젤예 프라이빗 스파&풀 펜트하우스💙아침엔 청량청량 뽀오얀 분위기+밤엔 영롱한 조명이 넘예댜,,💗밖에서 수영장 안을 볼 수 있어서 수중촬영st 인생샷까지><사우나도 있어서 수영하다 몸데우고 다시 수영하기조하♨담에 요기서 하루종일 수영 각@@호캉스 어때ㅎㅎ+)남부터미널 도보 5분거리래!-💙 #소설호텔펜트하우스 📍 서초구 반포대로14길 53-#서울펜션 #서울숙소 #서울숙소추천 #서울호캉스 #서울호텔 #서울호텔추천 #소설호텔 #호텔소설 #서울데이트 #서울데이트코스 #서울가볼만한곳 #서울핫플_데이트 #서울핫플_서초",2021-04-21,"3,810",,"['#소설호텔펜트하우스', '#서울펜션', '#서울숙소', '#서울숙소추천', '#서울호캉스', '#서울호텔', '#서울호텔추천', '#소설호텔', '#호텔소설', '#서울데이트', '#서울데이트코스', '#서울가볼만한곳', '#서울핫플_데이트', '#서울핫플_서초']"
2,결혼기념일 다가오는 이맘때쯤은 매년 신라에서 하루 자고 비행기 타는 코스였는데... 내년은 갈수있겠지 ✈️#팔이새카만것은기분탓인가 #스윗제니 #스윗제니호텔 #서울호캉스 #신라호텔 #어반아일랜드 ..,2021-05-23,"1,173",The Shilla Hotels & Resorts - 신라호텔,"['#팔이새카만것은기분탓인가', '#스윗제니', '#스윗제니호텔', '#서울호캉스', '#신라호텔', '#어반아일랜드']"
3,칭구들이 도대체 언제 올리냐고 몇 번이나 물어봤는데 드디어 올리는 그 날의 사진🧡ㅋㅋㅋㅋㅋ 헷🥰🥰흐리던 날인데 브샤 준비하려고 하니 그짓말 같이 노을이 지기 시작했다😆이 날 사진들 다 맘에 들어서 초큼 많이 올려도 이해해 즈세요..❤️❤️❤️,2021-05-16,509,"Seoul, Korea",[]
4,4월말 스트레스 만땅인 약 한달간의 기획을 끝내고 4일 휴가를 내고 호캉스를 했습니다..이기회에 그동안 미뤄놨던 사랑니를 빼자...네이버에 보니 세개 한방에 뺀분이 계셔서 아시는분이 계신 큰병원에 우겨서 한방에 2개를 뺐습니다..저의 잘못된 판단으로 지금껏 고생중 ... 붓긴지 살인지 모르는 하물며 호캉스 해야하는데 엄청 아푸고 부어서 요양을 해야하는 개고생을 했습니다..의사쌤 말을 잘들읍시다 😅😅😅.와 살이쪄서 니하이부츠 신는데 십분걸린듯.@parkhyattseoul @parkhyatt @isabelmarant @bottegaveneta_international .#서울호텔 #서울호캉스 #서울호텔추천 #호캉스 #호캉스추천 #셀카 #거울샷 #이자벨마랑 #보테가베네타 #휴가 #ootd #ootdfashion #fashion #fashionblogger #호텔블로거 #호텔블로그 #호텔리뷰,2021-05-26,608,Park Hyatt Seoul - 파크하얏트서울,"['#서울호텔', '#서울호캉스', '#서울호텔추천', '#호캉스', '#호캉스추천', '#셀카', '#거울샷', '#이자벨마랑', '#보테가베네타', '#휴가', '#ootd', '#ootdfashion', '#fashion', '#fashionblogger', '#호텔블로거', '#호텔블로그', '#호텔리뷰']"
5,"신촌에 있는 100평 온수풀+프라이빗 파티룸호텔💙으리으리 넓은 수영장+영롱한 조명 조합에 절로 씐남><우리끼리 오붓하게 꿀잼 파티 각이댜💕노래방, 건식사우나, 빔프로젝터, 블루투스스피커부터전 객실 넷플릭스도 가능하다니 개꿀!1층 로비에는 무료스낵바에, 프라이빗한 라운지에서 즉석라면, 토스트 등등 맛도리도 먹을 수 있대🍜커플피씨는 고사양이라 배그도 가능하다구ㅋㅋ여기 각 아님?@@-✨ #월호텔 📍 서대문구 연세로2길 101-10✔ 체크인시 발렛가능-#서울숙소 #서울숙소추천 #서울호캉스 #서울호텔 #서울호텔추천 #서울파티룸 #서울파티룸추천 #우정파티 #서울수영장호텔 #서울데이트 #서울데이트코스 #서울가볼만한곳",2021-05-13,"1,267",,"['#월호텔', '#서울숙소', '#서울숙소추천', '#서울호캉스', '#서울호텔', '#서울호텔추천', '#서울파티룸', '#서울파티룸추천', '#우정파티', '#서울수영장호텔', '#서울데이트', '#서울데이트코스', '#서울가볼만한곳']"
6,"#마랑브로우 ⠀⠀자연눈썹 시술 후 눈썹모가 부족한 부분에 ⠀점을 하나하나찍어 면을 채우는 콤보눈썹 ◡̈#콤보눈썹 이런분들께 추천드려요 🤎⌗ 화장한 느낌의 눈썹을 원하시는 경우⌗ 피부타입상 자연눈썹 시술이 어려운 경우⌗ 눈썹모 색이 짙거나, 두꺼운 경우, 반쪽 눈썹⌗ 이전 시술의 잔흔 커버가 필요한 경우⠀ ⠀——————————————————————⠀ 🏷 예약 및 문의⠀ 프로필(@marantbrow) 링크의 카카오 채팅으로 문의⠀⠀ (ᴅᴍ은 확인이 늦어질 수 있어 ᴋᴀᴋᴀᴏ로 문의부탁드려요!)⠀",2021-05-25,541,강남역,"['#마랑브로우', '#콤보눈썹']"
7,너무 이쁜 동해바다🥰.........#살롱드해변 #속초카페 #속초여행,2021-05-24,139,속초해변,"['#살롱드해변', '#속초카페', '#속초여행']"
8,"별의 별 일 많았던 주말 , 그래도 돌아보니 지켜주셨네 - 고백할 수 있었던 🧸🤍 다음주는 주 4일제다 !!! ♡ヾ(*’∀`*)ﾉ♡ !!!",2021-05-02,181,그나저나 내일 월요일이야,[]
9,그랜드 인터컨티넨탈 서울 파라나스.#서울호캉스 #서울호텔 #그랜드인터컨티넨탈서울파르나스 #특가찬스 #즐거운호캉스 #너무너무좋다 #또가고싶다 #호캉스 #힐링 #일상 #호텔그램 #여행기록,2021-05-26,0,,"['#서울호캉스', '#서울호텔', '#그랜드인터컨티넨탈서울파르나스', '#특가찬스', '#즐거운호캉스', '#너무너무좋다', '#또가고싶다', '#호캉스', '#힐링', '#일상', '#호텔그램', '#여행기록']"
10,"'일하기 싫을 땐 휴가사진 보는게 국룰추적추적 비오는 주말 호캉스〰️모든것이 완벽했다,,✨✨🤍 깔끔한 화이트 인테리어🥐 호텔 로비에 있는 맛있는 베이커리🌞 오후 햇살 쬐며 여유롭게 책읽기🛁 버블바 풀어서 노곤하게 반신욕🪟 AI가 열어주는 신기한 커튼 (영상!)🌳 마음이 평화로워지는 빼곡한 숲뷰🍵 아침에 여유로운 티타임#비스타워커힐 #refreshingvividly",2021-05-26,22,Vista Walkerhill Seoul 비스타 워커힐 서울,"['#비스타워커힐', '#refreshingvividly']"
